UID	TIME	A	B	C	D	E	F
double	double	double	double	double	double	double	double
1	80	48.500000	0.149135	0.357299	-0.219036	0.065344	0.007680
1	81	48.500000	0.149135	0.357377	-0.219082	0.065288	0.007683
1	82	48.375000	0.149135	0.385671	-0.232108	0.064129	0.007962
1	83	49.000000	0.149135	0.259851	-0.174072	0.049856	0.006591
1	84	49.250000	0.149135	0.218827	-0.155444	0.040824	0.006050
1	85	49.750000	0.149135	0.150815	-0.117036	0.040584	0.004927
1	86	49.500000	0.149135	0.182323	-0.136056	0.053784	0.005490
1	87	49.500000	0.149135	0.182363	-0.136086	0.053752	0.005491
1	88	49.625000	0.149135	0.166057	-0.125956	0.048080	0.005212
1	89	49.750000	0.149135	0.150947	-0.117140	0.040560	0.004932
1	90	50.000000	0.149135	0.123809	-0.100200	0.040016	0.004409
1	91	49.000000	0.149135	0.260306	-0.174376	0.049977	0.006602
1	92	48.875000	0.149135	0.282795	-0.184492	0.050279	0.006876
1	93	48.500000	0.149135	0.358318	-0.219660	0.065479	0.007703
1	94	49.125000	0.149135	0.239295	-0.164682	0.048480	0.006311
1	95	49.250000	0.149135	0.219355	-0.155818	0.040976	0.006065
1	96	49.000000	0.149135	0.260592	-0.174568	0.050040	0.006609
1	97	48.875000	0.149135	0.283104	-0.184692	0.050360	0.006883
1	98	49.000000	0.149135	0.260706	-0.174646	0.049984	0.006613
1	99	49.125000	0.149135	0.239558	-0.164864	0.048552	0.006317
1	100	49.250000	0.149135	0.219595	-0.155986	0.041016	0.006071
1	101	48.750000	0.149135	0.307091	-0.195660	0.057271	0.007154
1	102	49.000000	0.149135	0.260934	-0.174800	0.050095	0.006619
1	103	49.375000	0.149135	0.200745	-0.146946	0.049632	0.005807
1	104	48.750000	0.149135	0.307292	-0.195792	0.057328	0.007159
1	105	48.625000	0.149135	0.332559	-0.207604	0.061185	0.007407
1	106	48.250000	0.149135	0.410795	-0.248282	0.060985	0.008119
1	107	48.125000	0.149135	0.436464	-0.257508	0.064383	0.008236
1	108	48.375000	0.149135	0.371275	-0.236364	0.065280	0.007580
1	109	48.750000	0.149135	0.280273	-0.203308	0.065047	0.006572
1	110	48.750000	0.149135	0.273358	-0.201696	0.069936	0.006412
1	111	48.875000	0.149135	0.239980	-0.185954	0.070184	0.005889
1	112	49.000000	0.149135	0.210354	-0.173532	0.068968	0.005475
1	113	48.250000	0.149135	0.359749	-0.257102	0.083993	0.006942
1	114	47.750000	0.149135	0.498359	-0.327968	0.088166	0.007798
1	115	47.875000	0.149135	0.454313	-0.316954	0.083810	0.007377
1	116	47.875000	0.149135	0.451065	-0.319036	0.094560	0.007217
1	117	48.125000	0.149135	0.368353	-0.283764	0.088768	0.006506
1	118	48.250000	0.149135	0.323936	-0.266126	0.094146	0.006042
1	119	48.375000	0.149135	0.278769	-0.248230	0.093761	0.005499
1	120	48.000000	0.149135	0.370475	-0.305634	0.097856	0.006030
2	1	44.250000	0.391066	3.262760	-0.295944	0.001553	0.017751
2	2	46.875000	0.391066	2.538123	-0.253628	0.006666	0.020858
2	3	45.875000	0.391066	2.797727	-0.271586	0.008553	0.019823
2	4	45.000000	0.391066	3.039254	-0.286210	0.010448	0.018687
2	5	45.125000	0.391066	3.001466	-0.285454	0.009764	0.018816
2	6	45.000000	0.391066	3.035245	-0.288142	0.007341	0.018603
2	7	45.875000	0.391066	2.786212	-0.275436	0.012798	0.019643
2	8	45.625000	0.391066	2.852875	-0.280382	0.011005	0.019310
2	9	47.125000	0.391066	2.448117	-0.254600	0.011805	0.020789
2	10	47.125000	0.391066	2.444114	-0.255346	0.012121	0.020746
2	11	46.750000	0.391066	2.537472	-0.262728	0.010532	0.020361
2	12	47.500000	0.391066	2.340765	-0.251684	0.003420	0.020989
2	13	48.375000	0.391066	2.121491	-0.237344	0.006603	0.021567
2	14	47.875000	0.391066	2.237684	-0.247324	0.013145	0.021225
2	15	48.250000	0.391066	2.141113	-0.241156	0.014805	0.021407
2	16	47.375000	0.391066	2.354484	-0.257074	0.009151	0.020724
2	17	47.500000	0.391066	2.317761	-0.256154	0.009638	0.020806
2	18	47.375000	0.391066	2.345261	-0.258810	0.006851	0.020625
2	19	48.500000	0.391066	2.059539	-0.239848	0.012377	0.021372
2	20	49.250000	0.391066	1.879076	-0.224484	0.014817	0.021575
2	21	49.750000	0.391066	1.763035	-0.214678	0.011382	0.021571
2	22	48.375000	0.391066	2.072863	-0.244594	0.014645	0.021170
2	23	48.625000	0.391066	2.006530	-0.239986	0.012563	0.021217
2	24	47.250000	0.391066	2.349421	-0.266002	0.011179	0.020200
2	25	45.750000	0.391066	2.767054	-0.296646	0.008268	0.018589
2	26	45.750000	0.391066	2.763821	-0.297334	0.008492	0.018530
2	27	46.000000	0.391066	2.686626	-0.293104	0.012077	0.018806
2	28	46.375000	0.391066	2.573965	-0.287908	0.011221	0.019201
2	29	48.375000	0.391066	2.031549	-0.249390	0.014738	0.020779
2	30	49.625000	0.391066	1.729972	-0.223374	0.016540	0.021129
2	31	49.250000	0.391066	1.808451	-0.232870	0.014380	0.021024
2	32	48.000000	0.391066	2.108690	-0.258974	0.013819	0.020370
2	33	50.125000	0.391066	1.599149	-0.212462	0.014096	0.020889
2	34	49.500000	0.391066	1.729463	-0.228022	0.011378	0.020830
2	35	50.125000	0.391066	1.583836	-0.213326	0.011816	0.020758
2	36	50.125000	0.391066	1.576031	-0.213896	0.011948	0.020699
2	37	50.875000	0.391066	1.412786	-0.197334	0.015758	0.020443
2	38	51.250000	0.391066	1.331685	-0.190164	0.013994	0.020291
2	39	50.625000	0.391066	1.446594	-0.205070	0.015376	0.020459
2	40	49.875000	0.391066	1.598438	-0.221030	0.012437	0.020398
2	41	49.875000	0.391066	1.590257	-0.221750	0.012686	0.020347
2	42	49.125000	0.391066	1.757191	-0.242900	0.009504	0.020253
2	43	47.875000	0.391066	2.072331	-0.272854	0.013367	0.019635
2	44	48.750000	0.391066	1.834532	-0.253836	0.014395	0.020024
2	45	49.750000	0.391066	1.584531	-0.227724	0.020598	0.020091
2	46	48.625000	0.391066	1.850937	-0.258218	0.013650	0.019845
2	47	50.250000	0.391066	1.455852	-0.217004	0.016466	0.019911
2	48	51.250000	0.391066	1.240514	-0.193688	0.019096	0.019542
2	49	50.875000	0.391066	1.305403	-0.203506	0.011797	0.019637
2	50	52.375000	0.391066	1.018209	-0.167004	0.019294	0.018576
2	51	53.125000	0.391066	0.888601	-0.151562	0.010273	0.017973
2	52	53.750000	0.391066	0.787902	-0.138220	0.011279	0.017193
2	53	53.000000	0.391066	0.886976	-0.153644	0.011219	0.017842
2	54	51.875000	0.391066	1.062969	-0.178442	0.019838	0.018540
2	55	51.875000	0.391066	1.052279	-0.178016	0.015595	0.018390
2	56	52.125000	0.391066	0.997504	-0.173094	0.013908	0.018169
2	57	52.375000	0.391066	0.943910	-0.166688	0.015910	0.017838
2	58	52.125000	0.391066	0.975185	-0.172278	0.009105	0.017923
2	59	53.875000	0.391066	0.696365	-0.133700	0.007267	0.016196
2	60	54.500000	0.391066	0.606023	-0.119540	0.014814	0.015236
2	61	56.500000	0.391066	0.390519	-0.084364	0.013201	0.012446
2	62	55.375000	0.391066	0.486373	-0.103664	0.009943	0.013959
2	63	55.500000	0.391066	0.462643	-0.100794	0.011199	0.013609
2	64	56.125000	0.391066	0.392980	-0.088170	0.009241	0.012475
2	65	55.250000	0.391066	0.465827	-0.103068	0.012751	0.013490
2	66	55.125000	0.391066	0.467197	-0.104156	0.013862	0.013408
2	67	54.375000	0.391066	0.537933	-0.118210	0.015609	0.014250
2	68	55.625000	0.391066	0.394983	-0.092702	0.010672	0.012301
2	69	55.250000	0.391066	0.418931	-0.097792	0.010639	0.012549
2	70	56.250000	0.391066	0.319970	-0.077616	0.009871	0.010772
2	71	55.500000	0.391066	0.371520	-0.089862	0.009160	0.011671
2	72	56.375000	0.391066	0.289774	-0.073384	0.008712	0.010185
2	73	55.875000	0.391066	0.316986	-0.079076	0.010008	0.010500
