ORF_A	ORF_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID
YER006W	YPL211W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YKL009W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YNL002C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YHR052W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YCR072C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YMR290C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YPL146C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YDR101C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YPL093W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YGR103W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YLR002C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YNL061W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YHR197W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YOR206W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YGR245C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YMR049C	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YCL054W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YDL031W	Affinity Precipitation	Bassler et al	;11583615;
YER006W	YLR106C	Affinity Precipitation	Bassler et al	;11583615;
YDL140C	YBR154C	Two Hybrid	BIND	;2496296;9207794;10393904;
YOR116C	YBR154C	Two Hybrid	BIND	;2496296;9207794;10393904;
YDL140C	YOR224C	Two Hybrid	BIND	;2496296;9207794;10393904;
YOR116C	YOR224C	Two Hybrid	BIND	;2496296;9207794;10393904;
YOR341W	YBR154C	Two Hybrid	BIND	;9207794;10393904;
YOR341W	YOR224C	Two Hybrid	BIND	;9207794;10393904;
YDL140C	YOR210W	Two Hybrid	BIND	;2496296;9207794;10393904;
YOR151C	YOR210W	Two Hybrid	BIND	;1939219;9207794;10393904;
YPR010C	YJR063W	Two Hybrid	BIND	;9207794;10393904;
YIL021W	YOL005C	Two Hybrid	BIND	;9207794;10393904;
YPR110C	YNL113W	Two Hybrid	BIND	;9207794;10393904;10688190;
YNL151C	YPR190C	Two Hybrid	BIND	;2547163;8407894;
YNL151C	YNR003C	Two Hybrid	BIND	;2547163;8407894;
YNR003C	YPR190C	Two Hybrid	BIND	;2547163;8407894;
YPL153C	YDR217C	Affinity Chromatography	BIND	;9657725;9734355;9755168;
YPL153C	YDR217C	Affinity Precipitation	BIND	;9657725;9734355;9755168;
YPL153C	YDR217C	Two Hybrid	BIND	;9657725;9734355;9755168;
YOR128C	YOR128C	Two Hybrid	BIND	;10688190;
YOR128C	YCR066W	Two Hybrid	BIND	;10688190;
YOR128C	YCR067C	Two Hybrid	BIND	;10688190;
YOR128C	YBR134W	Two Hybrid	BIND	;10688190;
YGR061C	YLR386W	Two Hybrid	BIND	;10688190;
YDR408C	YOR174W	Two Hybrid	BIND	;10688190;
YDR408C	YGL127C	Two Hybrid	BIND	;10688190;
YDR408C	YCR063W	Two Hybrid	BIND	;10688190;
YMR303C	YFL042C	Two Hybrid	BIND	;10688190;
YOR023C	YCR082W	Two Hybrid	BIND	;10688190;11283351;
YMR092C	YLR102C	Two Hybrid	BIND	;10688190;
YOL130W	YLR291C	Two Hybrid	BIND	;10688190;
YOL130W	YGL025C	Two Hybrid	BIND	;10688190;
YOL130W	YGL024W	Two Hybrid	BIND	;10688190;
YOL130W	YNL086W	Two Hybrid	BIND	;10688190;
YBR217W	YNR007C	Two Hybrid	BIND	;10688190;11283351;
YBR217W	YMR159C	Two Hybrid	BIND	;10688190;11283351;
YPR185W	YGL180W	Two Hybrid	BIND	;10688190;
YPR185W	YGR253C	Two Hybrid	BIND	;10688190;
YPR185W	YGR120C	Two Hybrid	BIND	;10688190;
YPR185W	YNL086W	Two Hybrid	BIND	;10688190;
YPL149W	YBR217W	Two Hybrid	BIND	;10688190;11283351;
YPL149W	YMR159C	Two Hybrid	BIND	;10688190;11283351;
YHR171W	YBR217W	Two Hybrid	BIND	;10688190;11283351;
YHR171W	YNR007C	Two Hybrid	BIND	;10688190;11283351;
YHR171W	YBL078C	Two Hybrid	BIND	;10688190;
YPL259C	YKL135C	Two Hybrid	BIND	;10688190;11283351;
YHL019C	YKL135C	Two Hybrid	BIND	;10688190;11283351;
YDR376W	YCR093W	Two Hybrid	BIND	;10688190;
YDR376W	YIR024C	Two Hybrid	BIND	;10688190;
YDR106W	YHR129C	Two Hybrid	BIND	;10688190;
YPR020W	YKL130C	Two Hybrid	BIND	;10688190;
YPL161C	YGL126W	Two Hybrid	BIND	;10688190;
YPL161C	YIL163C	Two Hybrid	BIND	;10688190;
YPL161C	YLR049C	Two Hybrid	BIND	;10688190;
YDR099W	YNL042W	Two Hybrid	BIND	;10688190;
YDR099W	YBL043W	Two Hybrid	BIND	;10688190;
YMR055C	YER143W	Two Hybrid	BIND	;10688190;11283351;
YMR055C	YHR061C	Two Hybrid	BIND	;10688190;
YMR055C	YGR153W	Two Hybrid	BIND	;10688190;
YMR055C	YNL335W	Two Hybrid	BIND	;10688190;
YOR026W	YJL013C	Two Hybrid	BIND	;10688190;
YLR319C	YGL015C	Two Hybrid	BIND	;10688190;11283351;
YOR276W	YOL139C	Two Hybrid	BIND	;10688190;11283351;
YPL111W	YPL111W	Two Hybrid	BIND	;10688190;11283351;
YLR438W	YHL025W	Two Hybrid	BIND	;10688190;
YLR438W	YGR010W	Two Hybrid	BIND	;10688190;
YLR438W	YLR328W	Two Hybrid	BIND	;10688190;
YDL220C	YDR082W	Two Hybrid	BIND	;10688190;11283351;
YGL116W	YJL030W	Two Hybrid	BIND	;10688190;
YLR229C	YPL161C	Two Hybrid	BIND	;10688190;
YLR229C	YDL135C	Two Hybrid	BIND	;10688190;
YGL155W	YKL019W	Two Hybrid	BIND	;10688190;
YDL132W	YDL017W	Two Hybrid	BIND	;10688190;
YDL132W	YDR328C	Two Hybrid	BIND	;10688190;
YDL132W	YLR100W	Two Hybrid	BIND	;10688190;
YDL132W	YLR128W	Two Hybrid	BIND	;10688190;
YDL132W	YLR368W	Two Hybrid	BIND	;10688190;
YDL132W	YGL249W	Two Hybrid	BIND	;10688190;
YDL017W	YJL088W	Two Hybrid	BIND	;10688190;
YDL017W	YDL160C	Two Hybrid	BIND	;10688190;
YDL017W	YKL039W	Two Hybrid	BIND	;10688190;
YDL017W	YGR099W	Two Hybrid	BIND	;10688190;
YDL017W	YCR022C	Two Hybrid	BIND	;10688190;
YDL017W	YCR050C	Two Hybrid	BIND	;10688190;
YDL017W	YEL023C	Two Hybrid	BIND	;10688190;
YDL017W	YFR057W	Two Hybrid	BIND	;10688190;
YDL017W	YNR048W	Two Hybrid	BIND	;10688190;
YDL017W	YOR006C	Two Hybrid	BIND	;10688190;
YLR245C	YLR245C	Two Hybrid	BIND	;10688190;10655498;11283351;
YBR274W	YMR255W	Two Hybrid	BIND	;10688190;
YBR274W	YLR258W	Two Hybrid	BIND	;10688190;
YMR138W	YOR070C	Two Hybrid	BIND	;10688190;
YMR138W	YBR284W	Two Hybrid	BIND	;10688190;
YCR005C	YCR005C	Two Hybrid	BIND	;10688190;
YCR005C	YJL042W	Two Hybrid	BIND	;10688190;
YOR061W	YOR039W	Two Hybrid	BIND	;10688190;11283351;
YGR108W	YBR135W	Two Hybrid	BIND	;10688190;11283351;
YPR119W	YBR135W	Two Hybrid	BIND	;10688190;11283351;
YPR119W	YNL135C	Two Hybrid	BIND	;10688190;
YPR119W	YDR386W	Two Hybrid	BIND	;10688190;
YPR119W	YDR412W	Two Hybrid	BIND	;10688190;
YPR119W	YHR035W	Two Hybrid	BIND	;10688190;
YPR119W	YNR022C	Two Hybrid	BIND	;10688190;
YDL155W	YBR135W	Two Hybrid	BIND	;10688190;
YAL040C	YJL013C	Two Hybrid	BIND	;10688190;
YLR433C	YNL047C	Two Hybrid	BIND	;10688190;
YKL190W	YMR211W	Two Hybrid	BIND	;10688190;
YBR155W	YDR463W	Two Hybrid	BIND	;10688190;
YLL050C	YFL039C	Two Hybrid	BIND	;10688190;
YOR303W	YOR039W	Two Hybrid	BIND	;10688190;
YLR216C	YIR037W	Two Hybrid	BIND	;10688190;
YLR429W	YDR328C	Two Hybrid	BIND	;10688190;
YNR010W	YOR174W	Two Hybrid	BIND	;10688190;
YMR094W	YLL052C	Two Hybrid	BIND	;10688190;
YMR094W	YOR359W	Two Hybrid	BIND	;10688190;
YHR057C	YJR091C	Two Hybrid	BIND	;10688190;
YGR155W	YCR086W	Two Hybrid	BIND	;10688190;
YIR032C	YIR032C	Two Hybrid	BIND	;10688190;
YNL314W	YNL314W	Two Hybrid	BIND	;10688190;
YGR113W	YGL061C	Two Hybrid	BIND	;10688190;11283351;
YNL118C	YOL149W	Two Hybrid	BIND	;10688190;
YNL118C	YEL015W	Two Hybrid	BIND	;10688190;
YDL160C	YOL149W	Two Hybrid	BIND	;10688190;11283351;
YDL160C	YEL015W	Two Hybrid	BIND	;10688190;11283351;
YPR082C	YBR055C	Two Hybrid	BIND	;10688190;
YPL049C	YDR480W	Two Hybrid	BIND	;10688190;11283351;
YER179W	YER179W	Two Hybrid	BIND	;10688190;11283351;
YIL150C	YGL201C	Two Hybrid	BIND	;10688190;
YGL061C	YER016W	Two Hybrid	BIND	;10688190;11283351;
YGL061C	YDR016C	Two Hybrid	BIND	;10688190;10655498;11283351;
YDR206W	YOL149W	Two Hybrid	BIND	;10688190;
YDR206W	YER027C	Two Hybrid	BIND	;10688190;
YDR206W	YJL030W	Two Hybrid	BIND	;10688190;
YDR206W	YBR057C	Two Hybrid	BIND	;10688190;
YDR206W	YOR047C	Two Hybrid	BIND	;10688190;
YOR180C	YLR284C	Two Hybrid	BIND	;10688190;11283351;
YLR390W	YDR145W	Two Hybrid	BIND	;10688190;
YBR176W	YBR176W	Two Hybrid	BIND	;10688190;
YJR125C	YOR111W	Two Hybrid	BIND	;10688190;11283351;
YLR233C	YGL201C	Two Hybrid	BIND	;10688190;
YLR233C	YKL020C	Two Hybrid	BIND	;10688190;
YLR233C	YNL229C	Two Hybrid	BIND	;10688190;
YLR233C	YAL028W	Two Hybrid	BIND	;10688190;
YLR233C	YGR160W	Two Hybrid	BIND	;10688190;
YLR233C	YJL019W	Two Hybrid	BIND	;10688190;
YLR233C	YML038C	Two Hybrid	BIND	;10688190;
YNL023C	YMR224C	Two Hybrid	BIND	;10688190;
YNL023C	YKL130C	Two Hybrid	BIND	;10688190;
YMR052W	YFR008W	Two Hybrid	BIND	;10688190;11283351;
YDR236C	YDR398W	Two Hybrid	BIND	;10688190;
YGR267C	YGR267C	Two Hybrid	BIND	;10688190;10655498;11283351;
YNL135C	YER052C	Two Hybrid	BIND	;10688190;
YNL135C	YMR087W	Two Hybrid	BIND	;10688190;
YBL042C	YER021W	Two Hybrid	BIND	;10688190;
YAL032C	YLR345W	Two Hybrid	BIND	;10688190;11283351;
YAL032C	YPL151C	Two Hybrid	BIND	;10688190;11283351;
YHR128W	YPR185W	Two Hybrid	BIND	;10688190;
YGL254W	YOR039W	Two Hybrid	BIND	;10688190;
YGL254W	YHR215W	Two Hybrid	BIND	;10688190;
YGL254W	YGR047C	Two Hybrid	BIND	;10688190;
YLR291C	YPL070W	Two Hybrid	BIND	;10688190;11283351;
YKR026C	YKR026C	Two Hybrid	BIND	;10688190;11283351;
YGR252W	YDR448W	Two Hybrid	BIND	;10688190;
YOR375C	YJL124C	Two Hybrid	BIND	;10688190;
YMR255W	YGL122C	Two Hybrid	BIND	;10688190;
YML094W	YLR200W	Two Hybrid	BIND	;10688190;
YML006C	YGL166W	Two Hybrid	BIND	;10688190;
YER133W	YDL070W	Two Hybrid	BIND	;10688190;
YER133W	YNL233W	Two Hybrid	BIND	;10688190;
YER133W	YBR045C	Two Hybrid	BIND	;10688190;
YER133W	YJL042W	Two Hybrid	BIND	;10688190;
YER133W	YIR006C	Two Hybrid	BIND	;10688190;
YER133W	YDR195W	Two Hybrid	BIND	;10688190;
YER133W	YOR329C	Two Hybrid	BIND	;10688190;
YER133W	YDR130C	Two Hybrid	BIND	;10688190;
YER133W	YDR412W	Two Hybrid	BIND	;10688190;
YER133W	YHR100C	Two Hybrid	BIND	;10688190;
YER133W	YOR315W	Two Hybrid	BIND	;10688190;
YJL137C	YJL137C	Two Hybrid	BIND	;10688190;
YCL040W	YML099C	Two Hybrid	BIND	;10688190;
YCL040W	YBR040W	Two Hybrid	BIND	;10688190;
YOL059W	YFL017C	Two Hybrid	BIND	;10688190;
YDR098C	YGL071W	Two Hybrid	BIND	;10688190;
YPL059W	YIL105C	Two Hybrid	BIND	;10688190;11283351;
YPL059W	YNL047C	Two Hybrid	BIND	;10688190;
YDR108W	YGR234W	Two Hybrid	BIND	;10688190;
YLR293C	YJR074W	Two Hybrid	BIND	;10688190;
YOR185C	YJR074W	Two Hybrid	BIND	;10688190;
YML121W	YML121W	Two Hybrid	BIND	;10688190;
YJL110C	YNL021W	Two Hybrid	BIND	;10688190;11283351;
YDL013W	YDR510W	Two Hybrid	BIND	;10688190;
YDL013W	YER116C	Two Hybrid	BIND	;10688190;
YOR202W	YOR202W	Two Hybrid	BIND	;10688190;
YER062C	YPL201C	Two Hybrid	BIND	;10688190;11283351;
YJL092W	YOR355W	Two Hybrid	BIND	;10688190;
YJL092W	YDR510W	Two Hybrid	BIND	;10688190;
YJL092W	YDR078C	Two Hybrid	BIND	;10688190;
YOL123W	YGL122C	Two Hybrid	BIND	;10688190;11283351;
YPL204W	YHR185C	Two Hybrid	BIND	;10688190;11283351;
YOL133W	YJL141C	Two Hybrid	BIND	;10688190;
YOL133W	YIL001W	Two Hybrid	BIND	;10688190;
YOL133W	YJL200C	Two Hybrid	BIND	;10688190;
YOR319W	YBR103W	Two Hybrid	BIND	;10688190;
YOR025W	YLR403W	Two Hybrid	BIND	;10688190;
YDR225W	YKR048C	Two Hybrid	BIND	;10688190;
YOL012C	YJL019W	Two Hybrid	BIND	;10688190;
YGL192W	YBR057C	Two Hybrid	BIND	;10688190;
YOL108C	YKL135C	Two Hybrid	BIND	;10688190;
YOL108C	YKL017C	Two Hybrid	BIND	;10688190;
YOL108C	YDR123C	Two Hybrid	BIND	;10688190;
YOL108C	YMR317W	Two Hybrid	BIND	;10688190;
YOL108C	YNL279W	Two Hybrid	BIND	;10688190;
YGL150C	YOR355W	Two Hybrid	BIND	;10688190;
YGL150C	YDL002C	Two Hybrid	BIND	;10688190;
YDR315C	YLR264W	Two Hybrid	BIND	;10688190;
YDR315C	YJR117W	Two Hybrid	BIND	;10688190;
YDR315C	YLR323C	Two Hybrid	BIND	;10688190;
YDR315C	YOR078W	Two Hybrid	BIND	;10688190;
YHR079C	YDR532C	Two Hybrid	BIND	;10688190;
YLL027W	YGL189C	Two Hybrid	BIND	;10688190;
YLL027W	YER131W	Two Hybrid	BIND	;10688190;
YER180C	YGL026C	Two Hybrid	BIND	;10688190;
YOR226C	YPL088W	Two Hybrid	BIND	;10688190;
YBR017C	YNR069C	Two Hybrid	BIND	;10688190;
YCL055W	YBR057C	Two Hybrid	BIND	;10688190;
YDR017C	YDR099W	Two Hybrid	BIND	;10688190;
YHR158C	YJR122W	Two Hybrid	BIND	;10688190;
YHR158C	YOR047C	Two Hybrid	BIND	;10688190;
YHR158C	YMR181C	Two Hybrid	BIND	;10688190;
YDR148C	YDR510W	Two Hybrid	BIND	;10688190;
YDR122W	YOL082W	Two Hybrid	BIND	;10688190;
YCL059C	YGL201C	Two Hybrid	BIND	;10688190;
YGR040W	YDL159W	Two Hybrid	BIND	;10688190;11283351;
YKL103C	YKL103C	Two Hybrid	BIND	;10688190;10655498;11283351;
YKL103C	YOL082W	Two Hybrid	BIND	;10688190;11283351;
YER127W	YDR299W	Two Hybrid	BIND	;10688190;11283351;
YNL104C	YKL183W	Two Hybrid	BIND	;10688190;
YKL205W	YKL144C	Two Hybrid	BIND	;10688190;
YDR503C	YKL130C	Two Hybrid	BIND	;10688190;
YDR439W	YCR086W	Two Hybrid	BIND	;10688190;11283351;
YBL026W	YOL149W	Two Hybrid	BIND	;10688190;
YBL026W	YDL160C	Two Hybrid	BIND	;10688190;
YBL026W	YJL124C	Two Hybrid	BIND	;10688190;
YBL026W	YER146W	Two Hybrid	BIND	;10688190;
YBL026W	YDR378C	Two Hybrid	BIND	;10688190;
YBL026W	YNL147W	Two Hybrid	BIND	;10688190;
YBL026W	YGR158C	Two Hybrid	BIND	;10688190;
YBL026W	YOR167C	Two Hybrid	BIND	;10688190;
YBL026W	YLR264W	Two Hybrid	BIND	;10688190;
YBL026W	YLR275W	Two Hybrid	BIND	;10688190;
YER112W	YOR039W	Two Hybrid	BIND	;10688190;
YER112W	YOL149W	Two Hybrid	BIND	;10688190;
YER112W	YJL124C	Two Hybrid	BIND	;10688190;
YER112W	YDR378C	Two Hybrid	BIND	;10688190;
YER112W	YNL147W	Two Hybrid	BIND	;10688190;
YER112W	YJR022W	Two Hybrid	BIND	;10688190;
YER112W	YOR167C	Two Hybrid	BIND	;10688190;
YER112W	YLR264W	Two Hybrid	BIND	;10688190;
YER112W	YLR269C	Two Hybrid	BIND	;10688190;
YJR022W	YOL149W	Two Hybrid	BIND	;10688190;
YJR022W	YPR017C	Two Hybrid	BIND	;10688190;
YJR022W	YOR319W	Two Hybrid	BIND	;10688190;
YJR022W	YBL026W	Two Hybrid	BIND	;10688190;
YJR022W	YER146W	Two Hybrid	BIND	;10688190;
YJR022W	YDR378C	Two Hybrid	BIND	;10688190;
YJR022W	YNL147W	Two Hybrid	BIND	;10688190;
YJR022W	YGR158C	Two Hybrid	BIND	;10688190;
YJR022W	YOR167C	Two Hybrid	BIND	;10688190;
YJR022W	YLR264W	Two Hybrid	BIND	;10688190;
YJR022W	YEL015W	Two Hybrid	BIND	;10688190;
YJR022W	YLR269C	Two Hybrid	BIND	;10688190;
YGR057C	YKL015W	Two Hybrid	BIND	;10688190;11283351;
YGL154C	YGL254W	Two Hybrid	BIND	;10688190;10655498;11283351;
YPR051W	YEL053C	Two Hybrid	BIND	;10688190;11283351;
YCR020C-A	YEL053C	Two Hybrid	BIND	;10688190;
YPR046W	YJR135C	Two Hybrid	BIND	;10688190;11283351;
YLR288C	YMR159C	Two Hybrid	BIND	;10688190;11283351;
YMR112C	YBR253W	Two Hybrid	BIND	;10688190;
YOL135C	YOR174W	Two Hybrid	BIND	;10688190;
YNL210W	YKL142W	Two Hybrid	BIND	;10688190;
YIL128W	YMR112C	Two Hybrid	BIND	;10688190;
YIL046W	YBR138C	Two Hybrid	BIND	;10688190;
YIL046W	YJR131W	Two Hybrid	BIND	;10688190;
YIL046W	YLR082C	Two Hybrid	BIND	;10688190;
YIL046W	YBR270C	Two Hybrid	BIND	;10688190;
YIL046W	YEL015W	Two Hybrid	BIND	;10688190;
YIL046W	YJL058C	Two Hybrid	BIND	;10688190;
YPL038W	YEL009C	Two Hybrid	BIND	;10688190;
YGL035C	YPL025C	Two Hybrid	BIND	;10688190;
YPL140C	YHR030C	Two Hybrid	BIND	;10688190;
YFL034C-B	YOL036W	Two Hybrid	BIND	;10688190;
YOL088C	YHR091C	Two Hybrid	BIND	;10688190;
YOL088C	YLR312C	Two Hybrid	BIND	;10688190;
YKL142W	YKL142W	Two Hybrid	BIND	;10688190;
YKL142W	YMR165C	Two Hybrid	BIND	;10688190;
YGR014W	YDL165W	Two Hybrid	BIND	;10688190;
YGR014W	YJL030W	Two Hybrid	BIND	;10688190;
YGR014W	YJL013C	Two Hybrid	BIND	;10688190;
YGR014W	YPL211W	Two Hybrid	BIND	;10688190;
YGR014W	YIL144W	Two Hybrid	BIND	;10688190;
YDL154W	YBR133C	Two Hybrid	BIND	;10688190;
YDL154W	YMR224C	Two Hybrid	BIND	;10688190;
YDL154W	YGL025C	Two Hybrid	BIND	;10688190;
YDL154W	YIL144W	Two Hybrid	BIND	;10688190;
YDL154W	YGL170C	Two Hybrid	BIND	;10688190;
YDR335W	YDR174W	Two Hybrid	BIND	;10688190;
YDR335W	YGR009C	Two Hybrid	BIND	;10688190;
YDR335W	YDR146C	Two Hybrid	BIND	;10688190;
YDR335W	YOR359W	Two Hybrid	BIND	;10688190;
YDR335W	YPR008W	Two Hybrid	BIND	;10688190;
YGR158C	YDL111C	Two Hybrid	BIND	;10688190;10655498;11283351;
YAL034W-A	YKL103C	Two Hybrid	BIND	;10688190;
YAL034W-A	YGL172W	Two Hybrid	BIND	;10688190;
YAL034W-A	YGR120C	Two Hybrid	BIND	;10688190;
YGL122C	YKR026C	Two Hybrid	BIND	;10688190;
YML031W	YDL088C	Two Hybrid	BIND	;10688190;
YML031W	YMR153W	Two Hybrid	BIND	;10688190;11283351;
YDL002C	YER092W	Two Hybrid	BIND	;10688190;
YFR002W	YMR153W	Two Hybrid	BIND	;10688190;11283351;
YFR002W	YGR120C	Two Hybrid	BIND	;10688190;
YGL221C	YGL221C	Two Hybrid	BIND	;10688190;
YMR309C	YNL244C	Two Hybrid	BIND	;10688190;
YMR309C	YNL047C	Two Hybrid	BIND	;10688190;
YMR309C	YOR284W	Two Hybrid	BIND	;10688190;
YPL174C	YHR129C	Two Hybrid	BIND	;10688190;
YPL174C	YIL144W	Two Hybrid	BIND	;10688190;
YPL174C	YJL184W	Two Hybrid	BIND	;10688190;
YBR170C	YGR048W	Two Hybrid	BIND	;10688190;11283351;
YMR091C	YFR037C	Two Hybrid	BIND	;10688190;
YDR001C	YLR270W	Two Hybrid	BIND	;10688190;11283351;
YOL069W	YER099C	Two Hybrid	BIND	;10688190;
YER105C	YJL030W	Two Hybrid	BIND	;10688190;
YER105C	YMR153W	Two Hybrid	BIND	;10688190;
YER105C	YEL015W	Two Hybrid	BIND	;10688190;
YLR335W	YOR020C	Two Hybrid	BIND	;10688190;
YGR119C	YJL041W	Two Hybrid	BIND	;10688190;11283351;
YGR119C	YGL172W	Two Hybrid	BIND	;10688190;11283351;
YGR119C	YMR236W	Two Hybrid	BIND	;10688190;
YOR269W	YLR254C	Two Hybrid	BIND	;10688190;11283351;
YDR228C	YDR448W	Two Hybrid	BIND	;10688190;
YDR228C	YOR250C	Two Hybrid	BIND	;10688190;11283351;
YDR228C	YMR061W	Two Hybrid	BIND	;10688190;
YDR228C	YGL044C	Two Hybrid	BIND	;10688190;
YDR228C	YLR423C	Two Hybrid	BIND	;10688190;
YDR228C	YLR424W	Two Hybrid	BIND	;10688190;
YDR228C	YPR049C	Two Hybrid	BIND	;10688190;
YGL134W	YPL031C	Two Hybrid	BIND	;10688190;11283351;
YDL127W	YDR146C	Two Hybrid	BIND	;10688190;
YER059W	YJL084C	Two Hybrid	BIND	;10688190;
YER059W	YLR190W	Two Hybrid	BIND	;10688190;
YBR221C	YLR345W	Two Hybrid	BIND	;10688190;
YIL013C	YDR174W	Two Hybrid	BIND	;10688190;
YDR142C	YHR160C	Two Hybrid	BIND	;10688190;11283351;
YDR142C	YGR239C	Two Hybrid	BIND	;10688190;11283351;
YDR142C	YIL160C	Two Hybrid	BIND	;10688190;
YGR240C	YMR223W	Two Hybrid	BIND	;10688190;
YPL031C	YGL215W	Two Hybrid	BIND	;10688190;
YPL031C	YDL127W	Two Hybrid	BIND	;10688190;
YPL031C	YER059W	Two Hybrid	BIND	;10688190;11283351;
YPL031C	YIL050W	Two Hybrid	BIND	;10688190;11283351;
YPL031C	YPL219W	Two Hybrid	BIND	;10688190;11283351;
YPL031C	YDL179W	Two Hybrid	BIND	;10688190;
YPL031C	YJR159W	Two Hybrid	BIND	;10688190;
YPL031C	YDL246C	Two Hybrid	BIND	;10688190;
YPL031C	YNL201C	Two Hybrid	BIND	;10688190;
YDR313C	YPL133C	Two Hybrid	BIND	;10688190;
YBL105C	YML109W	Two Hybrid	BIND	;10688190;
YDR490C	YHR207C	Two Hybrid	BIND	;10688190;
YDR490C	YIR044C	Two Hybrid	BIND	;10688190;
YDR490C	YLR466W	Two Hybrid	BIND	;10688190;
YMR129W	YJL057C	Two Hybrid	BIND	;10688190;
YMR129W	YMR153W	Two Hybrid	BIND	;10688190;
YMR267W	YKR026C	Two Hybrid	BIND	;10688190;
YNR032W	YLR216C	Two Hybrid	BIND	;10688190;
YNR032W	YMR186W	Two Hybrid	BIND	;10688190;
YNR032W	YGR123C	Two Hybrid	BIND	;10688190;
YGR123C	YDR216W	Two Hybrid	BIND	;10688190;
YOR362C	YFL017C	Two Hybrid	BIND	;10688190;
YJL001W	YLR386W	Two Hybrid	BIND	;10688190;
YMR314W	YKL130C	Two Hybrid	BIND	;10688190;11283351;
YER023W	YER023W	Two Hybrid	BIND	;10688190;
YDL043C	YJL203W	Two Hybrid	BIND	;10688190;10655498;11283351;
YBR237W	YDR073W	Two Hybrid	BIND	;10688190;
YBR055C	YDL064W	Two Hybrid	BIND	;10688190;
YOL061W	YER099C	Two Hybrid	BIND	;10688190;11283351;
YMR308C	YKL135C	Two Hybrid	BIND	;10688190;
YMR308C	YOR020C	Two Hybrid	BIND	;10688190;
YMR308C	YDR148C	Two Hybrid	BIND	;10688190;
YMR308C	YGR119C	Two Hybrid	BIND	;10688190;
YMR308C	YJR159W	Two Hybrid	BIND	;10688190;
YMR308C	YOR229W	Two Hybrid	BIND	;10688190;
YMR308C	YDL246C	Two Hybrid	BIND	;10688190;
YMR308C	YER045C	Two Hybrid	BIND	;10688190;
YMR308C	YIR025W	Two Hybrid	BIND	;10688190;
YMR308C	YMR048W	Two Hybrid	BIND	;10688190;
YMR308C	YPL133C	Two Hybrid	BIND	;10688190;
YDL006W	YDR162C	Two Hybrid	BIND	;10688190;10655498;11283351;
YER089C	YDR071C	Two Hybrid	BIND	;10688190;
YOR348C	YMR228W	Two Hybrid	BIND	;10688190;
YOR348C	YCR045C	Two Hybrid	BIND	;10688190;
YOR348C	YJL084C	Two Hybrid	BIND	;10688190;
YOR348C	YLR294C	Two Hybrid	BIND	;10688190;
YML095C	YOR260W	Two Hybrid	BIND	;10688190;
YML095C	YCR086W	Two Hybrid	BIND	;10688190;
YOR368W	YLR288C	Two Hybrid	BIND	;10688190;
YER162C	YEL037C	Two Hybrid	BIND	;10688190;
YER162C	YLR167W	Two Hybrid	BIND	;10688190;
YER095W	YER047C	Two Hybrid	BIND	;10688190;
YER095W	YDL064W	Two Hybrid	BIND	;10688190;
YER095W	YMR233W	Two Hybrid	BIND	;10688190;
YER095W	YPL238C	Two Hybrid	BIND	;10688190;
YER095W	YPR011C	Two Hybrid	BIND	;10688190;
YDR076W	YER095W	Two Hybrid	BIND	;10688190;11283351;
YGL058W	YCR066W	Two Hybrid	BIND	;10688190;
YDL090C	YKL019W	Two Hybrid	BIND	;10688190;
YGL158W	YLR113W	Two Hybrid	BIND	;10688190;
YOR127W	YHL042W	Two Hybrid	BIND	;10688190;
YOR127W	YJL185C	Two Hybrid	BIND	;10688190;
YLR071C	YDL065C	Two Hybrid	BIND	;10688190;
YPR165W	YPL161C	Two Hybrid	BIND	;10688190;
YKR055W	YPL161C	Two Hybrid	BIND	;10688190;
YHL027W	YJL056C	Two Hybrid	BIND	;10688190;
YMR139W	YJR094C	Two Hybrid	BIND	;10688190;11283351;
YPR018W	YBR195C	Two Hybrid	BIND	;10688190;11283351;
YLL046C	YFR047C	Two Hybrid	BIND	;10688190;
YOR210W	YGL166W	Two Hybrid	BIND	;10688190;
YNL113W	YML121W	Two Hybrid	BIND	;10688190;
YNL113W	YFR011C	Two Hybrid	BIND	;10688190;
YNL113W	YHL018W	Two Hybrid	BIND	;10688190;
YNL113W	YLR266C	Two Hybrid	BIND	;10688190;
YPR110C	YLR238W	Two Hybrid	BIND	;10688190;
YDL150W	YKR025W	Two Hybrid	BIND	;10688190;
YFR004W	YOR261C	Two Hybrid	BIND	;10688190;
