id anom1989 anom1990 anom1991 anom1992 anom1993 anom1994 anom1995 anom1996 anom1997 anom1998 anom1999 anom2000 anom2001 maxabs relchg cv posper negper dem slope aspect cti nearstrm
double double double double double double double double double double double double double double double double double double double double double double double double
30 0.0234616 -0.0615385 -0.0315385 0.00346154 -0.0215384 -0.0115385 -0.0565385 -0.0465385 0.0584616 0.0234615 0.0634615 0.0334616 0.0234615 0.0634615 0.544555 2.90168 4 2 2097 6.29 286 2.21 9998.79 
31 0.00846155 -0.0515385 -0.0315385 0.00846155 -0.0315385 -0.0265385 -0.0565384 -0.0415385 0.0284615 0.0284615 0.0634616 0.0534616 0.0484615 0.0634616 0.595668 2.63392 4 3 2250 2.94 148 2.97 9170.76 
32 -0.0138461 -0.0338461 -0.0238461 0.0261538 -0.0288462 0.00615387 -0.0588461 -0.0488462 0.0361538 0.0461538 0.0561538 0.0311538 0.00615381 0.0588461 0.566666 2.87952 5 1 2052 9.72 134 1.76 8380.33 
33 -0.0192308 -0.0492308 -0.0242307 0.0357692 -0.0292307 0.0257693 -0.0592307 -0.0342308 0.0307692 0.0857692 0.0407692 -0.00923074 0.00576918 0.0857692 0.822878 2.5969 5 0 2036 9.13 174 1.83 7639.17 
34 0.0134615 -0.0465385 -0.0265384 0.0334615 -0.0315385 -0.0015385 -0.0615384 -0.0265385 0.0184615 0.0934615 0.0534615 0.00346155 -0.0215384 0.0934615 0.877256 2.58574 2 1 2084 9.53 194 1.78 6963.04 
35 0.00461539 -0.0403846 -0.0353846 0.0296154 -0.0103846 -0.0253846 -0.0553846 -0.0453846 0.0246154 0.0896154 0.0496154 0.0396154 -0.0253846 0.0896154 0.811847 2.62586 3 1 2070 8.4 158 1.91 6372.67 
36 0.0161538 -0.0538461 -0.00884615 0.0111538 -0.0338461 -0.0438462 -0.0388462 -0.0338461 0.0261538 0.0761539 0.0711539 0.0461539 -0.0338462 0.0761539 0.568966 3.12111 2 3 1908 14.62 128 1.34 5893.88 
37 0.00230766 -0.0576923 -0.0226923 0.00730766 -0.0476923 -0.0376923 -0.0426924 -0.0376923 0.0623077 0.0673077 0.0673077 0.0773077 -0.0376923 0.0773077 0.541779 2.91359 3 3 1599 12.19 126 2.63 5555.62 
38 0.00500002 -0.075 -0.035 0.02 -0.07 -0.035 -0.04 -0.045 0.05 0.08 0.08 0.08 -0.015 0.08 0.516129 2.83172 4 3 1492 2.3 303 7.31 5384.41 
39 -0.0284616 -0.0384615 -0.0484615 0.0215385 -0.0684616 -0.00846152 -0.0384615 -0.0534615 0.0615385 0.0765385 0.0665385 0.0715385 -0.0134615 0.0765385 0.454338 3.31514 4 0 1680 9.07 345 1.84 5396.19 
40 0.0484615 -0.0515385 -0.0265384 -0.00153846 -0.0915385 -0.0215384 -0.0315385 -0.0515385 0.0634615 0.0684615 0.0634615 0.0734615 -0.0415384 0.0915385 0.477912 3.53949 3 3 1492 11.21 13 5.78 5589.8 
41 -0.0480769 -0.0280769 -0.0230769 0.00192314 -0.103077 -0.0280769 -0.018077 -0.0280769 0.0719231 0.096923 0.0569231 0.101923 -0.0530769 0.103077 0.520389 3.28807 5 0 1525 9.79 5 2.45 5947.51 
42 0.028077 -0.041923 0.0180769 0.0480769 -0.0869231 -0.0219231 -0.121923 -0.0619231 0.028077 0.0930769 0.088077 0.093077 -0.0619231 0.121923 0.378734 4.67561 2 3 960 13.45 260 2.12 9670.3 
43 0.0046154 -0.0153846 0.0396154 0.0246154 -0.165385 -0.0303846 -0.110385 -0.0453846 0.0246154 0.119615 0.114615 0.104615 -0.0653847 0.165385 0.532838 3.76774 2 3 1443 19.14 259 1.06 10470.1 
44 0.0569231 -0.0180769 0.0119231 0.0219231 -0.123077 0.0219231 -0.118077 -0.0780769 0.0269231 0.126923 0.0519231 0.0469231 -0.0280769 0.126923 0.568966 3.22043 2 2 1494 16.76 268 2.59 11301.9 
45 0.0307692 -0.0392308 -0.0542308 0.0107692 -0.0692307 0.0107692 -0.0842308 -0.0692307 0.0757692 0.110769 0.0557692 0.0307693 -0.00923081 0.110769 0.635762 2.9782 4 2 1951 10.11 288 1.72 12154.9 
46 0.000384652 -0.0296154 -0.0346154 0.0103846 -0.0346154 -0.0046154 -0.0696154 -0.0546154 0.0553846 0.0603846 0.0603846 0.0703846 -0.0296154 0.0703846 0.504132 3.03981 4 1 1952 5.93 358 2.27 11313.2 
47 -0.00461538 -0.0446154 -0.0446154 0.0103846 -0.0296154 -0.0246154 -0.0446154 -0.0396154 0.0503846 0.0403846 0.0453846 0.0253846 0.0603846 0.0603846 0.526846 2.94631 4 1 1951 7.8 317 2.68 10397.9 
